ThumbIndPinch;0;1,0.2,1.5,0.3;1,0.2,1.5,0.3;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
MiddleFE;0;0,0,0,0;0,0,0,0;-1,0.2,1.5,0.3;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
Grasp;0;-1,0.2,1.5,0.3;-1,0.2,1.5,0.3;-1,0.2,1.5,0.3;-1,0.2,1.5,0.3;-1,0.2,1.5,0.3;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
WristFE;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;1,0.2,1.5,0.3;0,0,0,0;0,0,0,0;
MiddleFE;0;0,0,0,0;0,0,0,0;1,0.2,1.5,0.3;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
IndexFE;0;0,0,0,0;-1,0.2,1.5,0.3;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
WristFE;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.2,1.5,0.3;0,0,0,0;0,0,0,0;
IndexFE;0;0,0,0,0;-1,0.2,1.5,0.3;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
Grasp;0;1,0.2,1.5,0.3;1,0.2,1.5,0.3;1,0.2,1.5,0.3;1,0.2,1.5,0.3;1,0.2,1.5,0.3;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
Grasp;0;1,0.2,1.5,0.3;1,0.2,1.5,0.3;1,0.2,1.5,0.3;1,0.2,1.5,0.3;1,0.2,1.5,0.3;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
Grasp;0;-1,0.2,1.5,0.3;-1,0.2,1.5,0.3;-1,0.2,1.5,0.3;-1,0.2,1.5,0.3;-1,0.2,1.5,0.3;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
