ThumbFE;0;1.00,0.20,1.50,0.30;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
IndexFE;0;0.00,0.00,0.00,0.00;1.00,0.20,1.50,0.30;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
MiddleFE;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.20,1.50,0.30;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
WristFE;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.20,1.50,0.30;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
WristPS;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.20,1.50,0.30;
Grasp;0;1.00,0.20,1.50,0.30;1.00,0.20,1.50,0.30;1.00,0.20,1.50,0.30;1.00,0.20,1.50,0.30;1.00,0.20,1.50,0.30;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
ThumbIndPinch;0;1.00,0.20,1.50,0.30;1.00,0.20,1.50,0.30;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
ThumbFE;0;-1.00,0.20,1.50,0.30;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
WristFE;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;-1.00,0.20,1.50,0.30;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
