LittleInt;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
WristFlex;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
WristRadialDev;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;
WristPronate;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;
WristExt;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;-1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
UlnarDev;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;-1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;
WristSupinate;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;-1.00,0.00,0.50,0.10;
PowerGrip;0;0.30,0.00,0.50,0.10;1.00,0.00,0.50,0.10;1.00,0.00,0.50,0.10;1.00,0.00,0.50,0.10;1.00,0.00,0.50,0.10;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
PowerGripE;0;-0.30,0.00,0.50,0.10;-1.00,0.00,0.50,0.10;-1.00,0.00,0.50,0.10;-1.00,0.00,0.50,0.10;-1.00,0.00,0.50,0.10;-1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
IndexPoint;0;0.30,0.00,0.50,0.10;-0.80,0.00,0.50,0.10;1.00,0.00,0.50,0.10;1.00,0.00,0.50,0.10;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
KeyGrip;0;0.30,0.00,0.50,0.08;1.00,0.00,0.50,0.10;1.00,0.00,0.50,0.10;1.00,0.00,0.50,0.10;1.00,0.00,0.50,0.10;-1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
TripodPinch;0;0.25,0.10,0.50,0.10;0.60,0.00,0.50,0.10;0.65,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
TripodPinchE;0;-0.25,0.10,0.50,0.10;-0.60,0.00,0.50,0.10;-0.65,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
