G1	1	231	255	231	T1
G2	2	201	254	200	T2
G3	3	211	235	211	T3
G4	4	188	236	188	T4
G5	5	141	235	141	T5
G6	6	164	235	165	T6
G7	7	117	234	117	P1
G8	8	70	235	70	P6
G9	9	94	235	94	P9
G10	10	46	235	47	P7
G11	11	3	235	3	P8
G12	12	23	236	24	P10
R1	13	248	200	200	I1
R2	14	248	180	181	I2
R3	15	248	150	151	I3
R4	16	248	120	121	I4
R5	17	248	100	100	I5
R6	18	248	80	80	I6
R7	19	248	60	61	I7
R8	20	248	30	29	I8
R9	21	247	2	2	P2
O1	22	243	210	195	M1
O2	23	244	194	171	M2
O3	24	243	178	145	M3
O4	25	244	162	122	M4
O5	26	243	145	98	M5
O6	27	244	129	74	M6
O7	28	243	113	48	M7
O8	29	243	97	24	M8
O9	30	243	80	0	P3
Y1	31	232	225	209	R1
Y2	32	232	218	187	R2
Y3	33	232	210	163	R3
Y4	34	230	205	138	R4
Y5	35	233	196	116	R5
Y6	36	232	187	93	R6
Y7	37	233	181	71	R7
Y8	38	232	173	47	R8
Y9	39	232	159	0	P4
YG1	40	213	232	186	L1
YG2	41	202	232	162	L2
YG3	42	193	232	139	L3
YG4	43	182	232	117	L4
YG5	44	171	232	93	L5
YG6	45	161	231	70	L6
YG7	46	152	232	47	L7
YG8	47	142	232	23	L8
YG9	48	130	234	0	P5
P1	49	250	227	253	DT1
P2	50	245	203	253	DT2
P3	51	241	177	253	DT3
P4	52	238	152	253	DT4
P5	53	235	126	253	DT5
P6	54	230	101	253	DT6
P7	55	227	76	253	D1
P8	56	223	50	253	D6
P9	57	220	25	253	D9
P10	58	215	0	254	D7
P11	59	167	0	254	D8
P12	60	188	52	255	D10
BG1	61	204	240	234	DI1
BG2	62	168	240	226	DI2
BG3	63	144	240	221	DI3
BG4	64	120	240	216	DI4
BG5	65	96	240	211	DI5
BG6	66	72	240	206	DI6
BG7	67	48	240	202	DI7
BG8	68	24	240	197	DI8
BG9	69	0	240	192	D2
LB1	70	186	229	232	DM1
LB2	71	163	228	232	DM2
LB3	72	139	226	232	DM3
LB4	73	116	225	232	DM4
LB5	74	93	223	232	DM5
LB6	75	70	222	232	DM6
LB7	76	46	220	232	DM7
LB8	77	23	218	232	DM8
LB9	78	0	217	232	D3
B1	79	204	224	255	DR1
B2	80	179	208	255	DR2
B3	81	153	192	255	DR3
B4	82	127	177	255	DR4
B5	83	103	161	255	DR5
B6	84	76	145	255	DR6
B7	85	52	129	255	DR7
B8	86	25	113	255	DR8
B9	87	0	96	255	D4
BP1	88	230	230	255	DL1
BP2	89	180	179	255	DL2
BP3	90	155	153	255	DL3
BP4	91	130	127	255	DL4
BP5	92	105	103	255	DL5
BP6	93	79	76	255	DL6
BP7	94	54	52	255	DL7
BP8	95	29	25	255	DL8
BP9	96	6	0	255	D5		
